GRAN VIA CORTS CATALANES; 760,41.3979779,2.1801068999999997,16,1
C/ ROGER DE FLOR; 126,41.395487700000004,2.1771985000000003,17,2
C/ NÀPOLS; 82,41.394155700000006,2.1813305,11,3
C/ RIBES; 13,41.39331729999999,2.1812482999999996,8,4
PG. LLUIS COMPANYS; 11 (ARC TRIOMF),41.3911035,2.1801763,7,5
PG. LLUIS COMPANYS; 18  (ARC TRIOMF),41.391429200000005,2.1805685,10,6
PG. PUJADES;  1 (JUTJATS),41.388884999999995,2.18329,6,7
PG. PUJADES; 2,41.389134999999996,2.183489,6,8
AV. MARQUÉS DE L'ARGENTERA;13,41.384546,2.1849220000000003,5,9
C/ 60; NÚMERO 25,41.3467746,2.1436235,4,10
PG. MARITIM; 11 (DAVANT PL. BRUGADA),41.3812425,2.1933482000000004,7,11
PG. MARITIM; 23 (HOSPITAL DEL MAR),41.3833653,2.1946255,7,12
CARRER DE LA MARINA; 25-33,41.38812479999999,2.1951871,7,13
AV. MARQUÉS DE  L'ARGENTERA; 15,41.384844,2.185085,5,14
C/ CONSELL DE CENT; 397,41.3949085,2.1706022999999997,25,15
AV. MERIDIANA; 47 (D),41.3982615,2.1866517000000005,14,17
C/ ROSSELLÓ; 453,41.4060589,2.1740472,38,18
C/ ROSSELLÓ; 354,41.40314910000001,2.1707947,40,19
C/ CARTAGENA; 308,41.410314,2.1757334,46,20
C/ SANT ANTONI MARIA CLARET; 214,41.4108439,2.1740575,52,21
C/ SARDENYA; 292,41.4016969,2.175767,28,22
C/ BRUC; 45,41.3924661,2.1717397000000003,21,23
C/ MARINA; 199,41.4005784,2.1788855,23,24
C/ BRUC; 102,41.3954041,2.1681961,29,25
C/ DOS DE MAIG; 230-232,41.407169200000006,2.1820722000000004,22,26
C/ PROVENÇA; 322,41.3967524,2.1646338,38,27
C/ SARDENYA; 362,41.4055143,2.1706498,46,28
C/ PROVENÇA; 388-390,41.401061,2.169941,34,29
AV. DIAGONAL; 231 AMB PADILLA,41.4021805,2.1829894,13,30
PL. DEL MAR,41.3748001,2.1889045,4,31
LA BARCELONETA (CN BARCELONETA),41.3736911,2.1889279999999998,4,32
C/ PONTEVEDRA / JUDICI,41.37686,2.19067,4,33
C/ SANT PERE MÉS ALT; 4,41.3871079,2.1753364,9,34
C/ SANT RAMON DE PENYAFORT; 1,41.413483299999996,2.2206912999999995,5,35
AV. DE LA CATEDRAL; 6,41.38506160000001,2.1766834,8,36
PL. ANTONIO LÓPEZ (CORREUS; VIA LAIETANA),41.381275,2.1818962,4,37
PL. PAU VILA (D),41.381046000000005,2.1865759999999996,4,39
C/ DOCTOR AIGUADER; 2,41.382335,2.187093,6,40
PL. POETA BOSCÀ/ATLÀNTIDA,41.379326,2.189906,5,41
C/ CIUTAT DE GRANADA; 168 / AV. DIAGONAL,41.404511,2.189881,4,42
C/ CLOT; 1,41.4063864,2.1874404,13,43
AV. MERIDIANA; 66 ( COSTAT METRO GLORIES),41.4018969,2.1871575,16,44
C/ SARDENYA; 66,41.3913036,2.189476,5,45
C/ RAMON TRIAS FARGAS; 19 (D),41.3885744,2.1930099,7,46
C/ RAMON TRIAS FARGAS; 21,41.3902194,2.1904003,5,47
AV. MERIDIANA; 40,41.3960652,2.1871959,11,48
C/ ROSA SENSAT; 20,41.3910756,2.1965765999999998,5,49
AV. PARAL.LEL; 54,41.3751145,2.1709386000000004,8,50
PL. VICENÇ MARTORELL,41.384263399999995,2.1692556,12,51
PL. SANT MIQUEL; 4,41.3811691,2.177333,0,52
PL. CARLES PI I SUNYER,41.385086,2.174016,10,53
C/ SANT OLEGUER; 2,41.377531899999994,2.1707321,6,54
LA RAMBLA; 80,41.3814279,2.1732861,8,55
PORTAL DE SANTA MADRONA; 2-4,41.3770715,2.1758261,5,56
RAMBLA; 2,41.3768761,2.1772251,4,57
PLAÇA DELS ÀNGELS (MACBA),41.38268,2.16712,11,58
RAMBLA CATALUNYA; 47,41.3902625,2.1640349999999997,27,60
C/ PAU CLARIS; 120,41.3923875,2.1679348999999997,26,61
PL. CATALUNYA; 5,41.387235,2.168819,19,62
PL. CATALUNYA; 7,41.386542999999996,2.169427,19,63
PL. CATALUNYA; 10-11 (RAMBLA),41.387493,2.1690686,21,64
PL. CATALUNYA; 10-11 (PG. DE GRACIA),41.387696000000005,2.1696543,20,65
GRAN VIA DE LES CORTS CATALANES; 609,41.3893222,2.1678387999999997,23,66
C/ ROCAFORT; 214 / ROSSELLÓ,41.3852864,2.1454802,37,67
RAMBLA CATALUNYA; 133 /  CÒRSEGA,41.3953894,2.1572953,44,68
CARRER DE LA MARINA;25-33,41.38812479999999,2.1951871,7,69
C/ COMTE URGELL; 23,41.380393,2.1606506000000003,15,70
C/ FLORIDABLANCA; 145,41.3819459,2.1629146,16,71
C/ PROVENÇA; 215,41.3927771,2.1586272999999996,37,72
C/ ENRIC GRANADOS; 93,41.392134999999996,2.1563542,39,73
AV. JOSEP TARRADELLAS; 133,41.3900085,2.1432105,47,74
AV. JOSEP TARRADELLAS; 58,41.385003999999995,2.1429115000000003,40,75
C/ CÒRSEGA; 216,41.391766600000004,2.1532162999999995,40,76
AV. FRANCESC CAMBÓ; 10,41.3855644,2.1773214,8,77
PL. UNIVERSITAT /  ARIBAU,41.385647399999996,2.1634306,21,78
PL. UNIVERSITAT,41.385503,2.1634767999999998,21,79
C/ ENRIC  GRANADOS; 35,41.389668,2.1599077999999996,31,80
C/ VILAMARÍ;  61,41.3790718,2.1490553,24,81
