id,type,latitude,longitude,streetName,slots
384,BIKE,41.380708,2.146793,Vilamarí,14
387,BIKE,41.395796,2.178784,Nàpols,13
388,BIKE,41.380593,2.167418,Riera Alta,21
394,BIKE,41.38733,2.16305,Diputació,17
397,BIKE,41.388894,2.199334,Av. Del Litoral,0
404,BIKE,41.365374,2.133087,Juan Gris,22
405,BIKE,41.38551,2.152,Comte Borrell,19
408,BIKE,41.388609,2.19231,"Villena, 11",32
413,BIKE,41.393512,2.170718,Bruc,23
414,BIKE,41.393744,2.176451,Casp,19
416,BIKE,41.378134,2.16965,Rambla del Raval,10
421,BIKE,41.377845,2.13923,Plaça de Joan Peiró,19
423,BIKE,41.420201,2.189532,Carrer d'Hondures,20
424,BIKE,41.379632,2.192662,"Passeig Marítim de la Barceloneta, devant del 5-7",1
428,BIKE,41.398389,2.196261,Carrer Pujades,25
456,BIKE-ELECTRIC,41.389853,2.128581,(PK) C/ DE FLOS I CALCAT,8
460,BIKE-ELECTRIC,41.385702,2.177316,(PK) AV. FRANCESC CAMBÓ,7
463,BIKE-ELECTRIC,41.375244,2.169795,(PK) C/ DE L´ABAT SAFONT,7
472,BIKE-ELECTRIC,41.407353,2.151341,(PK) C/ DEL TORRENT DE L´OLLA,10
474,BIKE-ELECTRIC,41.3989,2.153668,(PK) PL. GAL·LA PLACÍDIA,7
478,BIKE-ELECTRIC,41.3798,2.1891,(PK) C/ DEL BALUARD,2
479,BIKE-ELECTRIC,41.387298,2.196595,(PK) C/ DE LA MARINA,6
496,BIKE-ELECTRIC,41.404871,2.175141,C/ DE PROVENÇA,10
2,BIKE,41.39553,2.17706,Roger de Flor/ Gran Vía,13
3,BIKE,41.394072,2.183441,Nàpols,25
5,BIKE,41.391075,2.180223,Pg Lluís Companys,28
6,BIKE,41.391349,2.18061,Pg Lluís Companys,31
7,BIKE,41.388856,2.183251,Pg Lluís Companys,5
8,BIKE,41.389088,2.183568,Pg Lluís Companys,2
9,BIKE,41.384532,2.184921,Marquès de l'Argentera,16
11,BIKE,41.381689,2.193914,Passeig Marítim,1
14,BIKE,41.384675,2.185039,Avinguda del Marques Argentera,14
16,BIKE,41.39827,2.186708,Av. Meridiana,19
18,BIKE,41.406086,2.174167,Rosselló,20
19,BIKE,41.403282,2.170726,Rosselló,19
20,BIKE,41.410166,2.175759,Cartagena,19
21,BIKE,41.410897,2.17402,Sant Antoni Maria Claret,21
22,BIKE,41.401684,2.17568,Sardenya,15
23,BIKE,41.392526,2.171812,Bruc,13
26,BIKE,41.407035,2.181981,Dos Maig,0
29,BIKE,41.401101,2.170082,Provença,18
35,BIKE,41.413592,2.221153,Sant Ramon de Penyafort,19
36,BIKE,41.385151,2.176804,Catedral,18
37,BIKE,41.381226,2.181888,Pl. Antonio López,6
38,BIKE,41.381129,2.186397,Pl. Pau Vila,10
40,BIKE,41.382335,2.187093,Doctor Aiguader,2
45,BIKE,41.391401,2.189399,Marina,9
51,BIKE,41.384054,2.169019,Pl. Vicenç Martorell,6
54,BIKE,41.377635,2.170586,Sant Oleguer,4
58,BIKE,41.382822,2.167154,Plaça dels Àngels,9
59,BIKE,41.382781,2.167203,Plaça dels Àngels,13
61,BIKE,41.390143,2.164946,Rambla Catalunya,7
62,BIKE,41.387142,2.168858,Pl. Catalunya,10
63,BIKE,41.386439,2.169417,Pl. Catalunya,20
64,BIKE,41.387469,2.169048,Pl. Catalunya,6
69,BIKE,41.386814,2.195689,Avda. Litoral,26
75,BIKE,41.385081,2.142868,Josep Tarradellas,16
76,BIKE,41.391751,2.153123,Còrsega,15
78,BIKE,41.385598,2.16338,Pl. Universitat,6
79,BIKE,41.38547,2.16333,Pl. Universitat,10
80,BIKE,41.389687,2.159999,Enric Granados,15
81,BIKE,41.378915,2.149174,Vilamarí davant,6
82,BIKE,41.379016,2.153799,Rocafort,20
85,BIKE,41.375076,2.159046,Paral·lel,15
86,BIKE,41.37544,2.163,Viladomat,20
90,BIKE,41.38834,2.150825,Rosselló,15
91,BIKE,41.380452,2.158403,Comte Borrell,21
93,BIKE,41.375454,2.149786,Gran Via,13
94,BIKE,41.375619,2.149889,Gran Via,16
95,BIKE,41.376428,2.147734,Tarragona,10
97,BIKE,41.378124,2.145389,Tarragona,18
99,BIKE,41.380632,2.141548,Viriat,10
100,BIKE,41.379135,2.14409,Tarragona,19
102,BIKE,41.39218,2.14213,Av. Diagonal,21
103,BIKE,41.409856,2.188217,Aragó,10
104,BIKE,41.410821,2.187365,C/València,19
105,BIKE,41.389069,2.173424,PL. Urquinaona,14
108,BIKE,41.402314,2.164961,Indústria,18
109,BIKE,41.390981,2.14737,C/ Londres,15
115,BIKE,41.38377,2.18424,Marqués d'Argentera,4
116,BIKE,41.383718,2.191414,Salvat Papasseit,19
117,BIKE,41.390666,2.197024,Rosa Sensat,7
118,BIKE,41.392212,2.187847,Sardenya,3
120,BIKE,41.404666,2.176515,Lepant,9
124,BIKE,41.370297,2.187808,Passeig Joan de Borbó,25
127,BIKE,41.412322,2.19142,Aragó,15
129,BIKE,41.37709,2.16124,Manso,13
136,BIKE,41.414226,2.201734,Gran Vía,1
139,BIKE,41.418035,2.206023,Gran Vía,23
141,BIKE,41.40902,2.194896,Gran Via,17
143,BIKE,41.40325,2.19606,Sancho de Ávila,24
144,BIKE,41.40562,2.19764,Castella,21
146,BIKE,41.415191,2.207111,Pere IV,7
147,BIKE,41.416018,2.212658,Rambla Prim,9
149,BIKE,41.395905,2.192958,Pujades,10
150,BIKE,41.406549,2.203112,Espronceda,17
152,BIKE,41.39925,2.197421,Pujades,11
160,BIKE,41.411026,2.219377,Avda. d'Eduard Maristany,15
162,BIKE,41.403908,2.208436,Ramon Turro,21
166,BIKE,41.400533,2.206539,Bilbao,4
167,BIKE,41.402561,2.210538,Bac de Roda,17
168,BIKE,41.405358,2.213677,Selva de Mar,22
171,BIKE,41.391986,2.203699,Passeig Marítim de la Nova Icària,10
173,BIKE,41.398027,2.208982,Avda. Litoral,15
175,BIKE,41.40666,2.20956,Llull / Provençals,9
184,BIKE,41.367504,2.134088,Quetzal,14
186,BIKE,41.375571,2.143812,Consell de Cent,10
187,BIKE,41.376858,2.169811,Carrer de Sant Pau,0
189,BIKE,41.396918,2.166163,Bruc,17
190,BIKE,41.39606,2.207803,Avinguda Litoral,11
191,BIKE,41.382564,2.149094,Rocafort,14
199,BIKE,41.38182,2.126933,Mejía Lequerica,25
206,BIKE,41.389845,2.13284,Avda. Diagonal,24
209,BIKE,41.385755,2.161004,Diputació,15
218,BIKE,41.404114,2.183203,Consell de Cent,16
220,BIKE,41.396229,2.151482,Tuset,19
229,BIKE,41.405107,2.156874,Carrer de la Santacreu,26
230,BIKE,41.405986,2.151633,C. De Nil Fabra,22
231,BIKE,41.407202,2.163476,Pi i Margall,10
235,BIKE,41.375065,2.165839,Paral.lel,2
240,BIKE,41.417763,2.187558,Josep Estivill,0
242,BIKE,41.424451,2.177284,Ramon Albó,23
244,BIKE,41.426896,2.178511,Felip II,11
252,BIKE,41.429953,2.193185,Rambla Onze de Setembre,28
262,BIKE,41.379821,2.152496,Rocafort,31
264,BIKE,41.439949,2.197033,República Dominicana,14
267,BIKE,41.443395,2.190623,Passeig Torras i Bages,9
274,BIKE,41.430071,2.18473,Rambla Fabra i Puig,3
276,BIKE,41.412163,2.165275,Plaça Alfons X el Savi / Ronda del Guinardó,16
277,BIKE,41.408284,2.16905,Travessera de Gràcia,25
280,BIKE,41.413986,2.177842,Sant Antoni Mª Claret,17
283,BIKE,41.42968,2.16157,Carrer Fulton,16
284,BIKE,41.389503,2.131454,Ada. Diagonal,24
288,BIKE,41.429636,2.174487,Pl. Virrei Amat,23
289,BIKE,41.416828,2.191022,Múrcia,0
291,BIKE,41.425897,2.17505,Cubelles,22
293,BIKE,41.428388,2.163101,Granollers,16
296,BIKE,41.436505,2.183877,Carrer de Rosselló i Porcel,21
297,BIKE,41.438864,2.176822,Carrer Turó Blau,14
302,BIKE,41.39065,2.111615,Cavallers,16
306,BIKE,41.385465,2.122912,Doctor Salvador Cardenal,14
307,BIKE,41.379135,2.113505,Pintor Ribalta,29
312,BIKE,41.379046,2.123253,Arizala,29
314,BIKE,41.37836,2.129737,Rambla del Brasil,19
316,BIKE,41.422212,2.198316,Cantàbria,13
319,BIKE,41.393713,2.145584,Saguès,25
325,BIKE,41.39493,2.130325,Alt de Gironella,21
326,BIKE,41.407384,2.1383,Balmes,12
337,BIKE,41.398719,2.120422,Carme Karr,17
340,BIKE,41.436145,2.204634,Sant Adrià,2
345,BIKE,41.363093,2.139771,Pl. Teresa de Claramunt,25
350,BIKE,41.391833,2.14812,Villarroel,21
351,BIKE,41.362135,2.135637,Jane Addams,26
354,BIKE,41.37592,2.13008,Rambla del Brasil,10
355,BIKE,41.37211,2.12859,Carreras i Candi,2
359,BIKE,41.390021,2.177572,Méndez Núñez,9
361,BIKE,41.376292,2.178553,Passeig de Colom,28
367,BIKE,41.385057,2.137331,Sentmenat,23
369,BIKE,41.400168,2.177948,Consell de Cent,1
370,BIKE,41.403735,2.172987,Sardenya,22
